word,surprisal,avg_rt
best,9.55062,236.86411764705886
in,6.069,256.5170588235294
the,2.57667,238.17176470588237
United,11.159,251.5241176470588
States,2.27436,263.4523529411764
He,5.6328,249.75375
fed,16.7951,251.1735294117647
the,7.87292,280.2475
captain,17.4907,259.2605882352941
bits,17.2955,270.2288235294118
of,3.54835,249.8247058823529
history,11.9851,257.03705882352943
about,10.0601,244.63941176470587
the,3.29195,252.95705882352945
troops,16.7161,256.56882352941176
and,6.66492,263.31294117647064
the,4.5622,260.0147058823529
For,6.51944,247.5817647058823
it,9.60077,259.40470588235297
was,5.39932,253.969375
a,4.38094,238.94176470588235
of,4.48262,282.40250000000003
the,3.43402,266.1723529411765
under,9.00611,247.39117647058822
George,13.0086,261.324705882353
Armstrong,16.0564,281.5623529411764
that,7.50105,358.60411764705884
had,7.34163,285.8241176470588
been,2.19471,248.28937499999998
wiped,16.2114,246.48941176470586
out,0.342921,254.19117647058823
at,6.32462,246.65823529411767
the,4.23012,228.48117647058825
Battle,17.0959,238.88117647058826
of,7.15214,243.92411764705884
The,11.9851,263.53999999999996
Little,14.0311,269.49176470588236
Big,14.0861,262.08941176470586
It,5.65274,298.1582352941177
take,13.8842,271.5876470588235
Chandler,14.729,284.37500000000006
long,12.7339,247.15352941176468
to,6.78048,262.1776470588235
realize,10.7114,256.3152941176471
that,3.09725,264.31529411764706
he,5.54394,284.61749999999995
had,3.35892,248.92588235294116
to,4.8897,239.98588235294122
carry,10.1008,258.6705882352941
a,3.95653,259.7752941176471
heavy,11.3053,263.05588235294124
load,14.797,259.7435294117647
of,3.78909,255.19411764705885
tradition,15.2395,281.8588235294117
on,8.55618,251.0676470588235
his,7.06285,233.0276470588235
shoulders,17.7391,244.35941176470587
as,8.20221,262.7988235294118
commander,17.9862,242.69705882352943
of,7.51522,245.19529411764705
A.,13.218,287.9676470588235
But,16.2296,302.03875
what,9.13448,303.9675
made,11.8793,289.1364705882353
the,4.21242,255.0376470588235
load,16.7256,277.0035294117647
lighter,16.0314,267.71352941176474
was,8.41043,282.59941176470585
the,4.87762,271.8882352941177
realization,18.3442,266.3623529411764
that,1.84292,257.5735294117647
every,11.2843,230.74705882352941
and,5.00457,338.32785714285717
was,9.29369,318.3770588235294
ready,12.1139,284.40352941176474
and,7.05085,256.4464705882353
willing,13.9179,269.2675
to,0.543945,278.8776470588236
help,7.77412,260.3205882352941
him,5.28182,258.7576470588236
carry,15.0024,270.1994117647059
for,6.89114,260.68294117647065
the,2.91632,257.0811764705883
good,11.0522,246.56294117647056
of,1.68939,233.5441176470588
the,3.44768,234.67941176470583
troop,16.8322,249.28941176470585
and,6.96396,259.97294117647056
the,4.5622,243.33882352941177
was,9.13165,339.82450000000006
a,4.0697,273.4138095238095
complex,11.6457,266.82
and,4.60665,278.6533333333334
frightening,16.5336,293.81263157894733
whose,15.5201,299.34761904761905
bright,15.3328,319.411
blue,14.7887,324.2057142857143
eyes,6.21132,294.78099999999995
with,7.28026,385.4295
a,3.7548,342.52736842105264
kind,11.8051,324.64904761904756
of,0.769769,314.48249999999996
frozen,15.879,286.5642857142857
into,9.06367,290.04599999999994
He,5.6328,277.7071428571428
had,6.39844,276.8223809523809
a,4.9881,263.385
frank,17.1347,274.70428571428573
Irish,15.4078,331.8428571428571
in,5.80341,364.8375
a,3.87311,255.53449999999992
that,6.06951,299.8542857142857
stayed,15.4532,287.3957894736842
in,5.9754,301.59149999999994
place,9.62071,325.40999999999997
even,11.6621,325.5344444444444
when,5.93179,286.4323809523809
he,4.45588,267.11285714285714
was,2.70338,285.2419999999999
pumping,17.0879,417.7433333333333
bullets,17.3398,323.83849999999995
into,9.68571,316.95285714285717
He,5.6328,281.1114285714286
carried,15.316,312.3333333333333
three,11.8941,290.44714285714286
guns --,12.686900000000001,283.581
one,7.58365,303.25428571428574
in,6.11007,269.57095238095235
the,3.05943,262.6
right,9.65172,352.9052380952382
one,11.2097,304.802380952381
under,10.6798,278.86285714285714
his,7.05824,302.98714285714294
left,12.6898,293.04476190476186
one,10.8521,358.1252380952381
in,5.90201,274.5455
the,3.05943,247.22285714285715
left,14.8434,291.361
outside,12.5765,347.44500000000005
coat,17.8469,347.302
pocket --,12.62564,354.5255000000001
and,3.88588,335.8761904761905
was,8.65907,301.25904761904764
equally,16.3216,273.1580952380952
lethal,17.3054,332.97095238095244
with,8.31522,283.8747619047619
both,9.82368,274.33857142857147
He,5.6328,270.3390476190476
killed,15.8342,317.59714285714284
and,5.00457,306.8019047619048
The,2.68215,305.4638095238096
police,14.3715,303.76047619047625
credited,15.4511,294.492
him,11.4926,325.2554999999999
with,6.00387,298.04285714285714
murders,16.7744,364.1257142857143
but,10.5843,325.76904761904757
he,8.31275,290.0080952380952
was,4.87935,274.62666666666667
never,8.59724,284.92238095238093
brought,13.2486,296.60999999999996
to,4.23335,296.598
trial,12.6354,269.95428571428573
for,8.86742,263.3657142857143
one,7.877,251.19619047619042
of,3.47446,249.41950000000006
Like,9.93886,282.0385714285714
a,7.14562,256.63571428571424
fair,11.464,271.0233333333334
number,13.0482,293.6257142857143
of,1.16726,273.16380952380956
he,12.006,367.48631578947374
He,5.6328,354.33
was,4.8669,359.49000000000007
an,6.65038,304.3857142857143
expert,9.87915,330.49476190476196
in,5.86469,363.25700000000006
the,3.04098,301.5957142857143
arrangement,17.4455,318.1928571428572
of,7.11023,288.8090476190476
and,4.34672,299.90095238095245
He,5.6328,296.5057142857143
had,6.39844,297.21999999999997
no,6.84409,302.81904761904764
apparent,15.264,336.94190476190477
of,5.83894,348.83799999999997
he,12.0231,358.10299999999995
divided,15.6143,338.42400000000004
humanity,17.5597,360.5759999999999
into,9.87083,347.9466666666666
and,5.00457,326.0242857142857
and,5.07448,295.1028571428571
the,4.82578,268.28666666666663
wrong,11.2085,313.64190476190475
ones,14.0393,288.9605
he,11.2636,295.48666666666674
was,4.78926,288.4742857142857
always,11.0847,284.53761904761905
willing,8.50255,290.8809523809524
to,0.543945,277.25714285714287
kill,10.6122,282.85666666666674
and,7.18421,353.5809523809524
He,5.6328,298.75428571428563
had,6.39844,295.35499999999996
what,12.4991,279.82666666666665
was,5.56796,290.54249999999996
described,12.0094,302.2528571428572
by,5.34542,292.5690476190477
a,4.19672,266.1333333333333
psychologist,15.8519,291.6771428571428
as,8.22032,319.08285714285716
a,3.23962,269.8757142857142
He,5.6328,288.407619047619
walked,16.9554,310.752380952381
with,8.28716,296.15100000000007
a,3.59166,285.7214285714286
heavy,9.16086,324.12999999999994
list,13.869,272.405238095238
to,7.3741,293.3275
the,4.48029,276.15857142857146
as,7.95793,317.2575
that,10.3517,318.78
leg,15.9592,321.33842105263165
was,8.42698,312.3728571428572
four,13.5624,293.26095238095235
inches,15.3704,309.7542857142857
shorter,16.4845,300.7565
than,4.54835,339.59952380952376
the,3.84366,292.38619047619045
but,10.9366,282.52047619047624
the,5.9996,295.78600000000006
did,13.0055,301.3355
not,3.90367,282.69750000000005
reduce,14.3385,316.4223809523809
his,10.117,302.0285
with,7.79957,373.85150000000004
his,5.5126,326.5785714285715
thought,14.2223,380.969
him,11.7746,326.60714285714283
a,7.4168,321.5361904761904
superior,12.4209,304.2123809523809
sort,14.1943,366.26095238095235
of,1.34957,295.4
but,11.1165,452.1405263157895
he,8.31275,305.51736842105265
in,6.13413,292.41949999999997
with,7.66525,280.4952380952381
his,5.5126,278.7033333333333
